;buyer;count;;
129;VÄSTTRAFIK AB,GOTEBORG,SE;224;;
130;VÄSTTRAFIK AB,GOTEBORG,SE;222;;
131;HEYNOW.AI,Goteborg,SE;219;;
132;PRESSBYRÅN 4228100,GÖTEBORG,SE;217;;
133;7 ELEVEN 4317142,GÖTEBORG,SE;215;;
134;HARVEST BY MANNERSTROM,GOTEBORG,SE;215;;
135;CIRCLE K ASKIM,ASKIM,SE;212;;
136;VÄSTTRAFIK AB,GOTEBORG,SE;209;;
137;GOOGLE*GOOGLE,INTERNET,GB; CLEVELAND BOROUGH COUNCIL;206;
138;Flixbus;206;;
139;VÄSTTRAFIK AB,GOTEBORG,SE;205;;
140;VÄSTTRAFIK AB,GOTEBORG,SE;205;;
141;HARVEST BY MANNERSTROM,GOTEBORG,SE;s Lynn Nhs Foundation Trust;202;
142;VÄSTTRAFIK AB,GOTEBORG,SE;200;;
143;VÄSTTRAFIK AB,GOTEBORG,SE;197;;
144;Bekräfta laddning av 072965418;196;;
145;Tillf mobil freja;195;;
146;VÄSTTRAFIK AB,GOTEBORG,SE;191;;
147;VÄSTTRAFIK AB,GOTEBORG,SE;190;;
148;CIRCLE K ASKIM,ASKIM,SE;190;;
149;TANKA SISJON,GOTEBORG,SE;189;;
150;HARVEST BY MANNERSTROM,GOTEBORG,SE;189;;
151;K*Coop.se;187;;
152;K*Coop.se;187;;
153;Överf ISK;186;;
154;Överf ISK;184;;
155;Spotify P11E7660D7,Stockholm,SE;183;;
156;KJELL & CO 51,VASTRA FROLUN,SE;183;;
157;VÄSTTRAFIK AB,GOTEBORG,SE;182;;
158;VÄSTTRAFIK AB,GOTEBORG,SE;181;;
159;HEMKÖP VÄSTRA FRÖLUNDA,VÄSTRA FRÖLUN,SE;179;;
160;IKANO BANK AB - PREEM;179;;
161;MAT;178;;
162;STORA COOP SISJÖN,ASKIM,SE;177;;
163;MCDONALDS 222 V,VETLANDA,SE;176;;
164;MCD ULRICEHAMN,ULRICEHAMN,SE;175;;
165;CIRCLE K NESSJO,NESSJO,SE;169;;
166;VÄSTTRAFIK AB,GOTEBORG,SE;169;;
167;Jysk Vetlanda,Vetlanda,SE;168;;
168;MCD 97 - BORAS,BORAS,SE;168;;
169;MAXI ICA STORMARKNAD V,VETLANDA,SE;168;;
170;DJURENS VÄRLD,VETLANDA,SE;167;;
171;9025.19.457.76;166;;
172;Avbetalning bil Fredrik;164;;
173;9023.78.887.28;164;;
174;NETS*collagefoto.se,Malmo,SE; Vehicle Licensing Agency;164;
175;LLOYDSAPOTEK102,Hovaas,SE;163;;
