In/ut;Betalsätt;Konto;Typ;Huvudkategori;Kategori 2;Kategori 3;Kategori 4;Vad;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;K-RAUTA,MOLNDAL,SE;;;;;;;;;;-416.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;Nota Harvest by Mannerström;;;;;;;;;;-105.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;HEMGLASS GOTEBORG,VASTERAS,SE;;;;;;;;;;-239.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;Västtrafik AB,Goteborg,SE;;;;;;;;;;-30.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;Västtrafik AB,Goteborg,SE;;;;;;;;;;-30.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Microsoft*Store,msbill.info,IE;;;;;;;;;;-64.99
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;GOOGLE *Google,g.co/helppay#,GB;;;;;;;;;;-69.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;Västtrafik AB,Goteborg,SE;;;;;;;;;;-30.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;Västtrafik AB,Goteborg,SE;;;;;;;;;;-6.0
Inkomster;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;Mat;;;;;;;;;;1050.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;Västtrafik AB,Goteborg,SE;;;;;;;;;;-30.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;APOTEK HJARTAT KUNGSGA,GOTEBORG,SE;;;;;;;;;;-236.48
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;Västtrafik AB,Goteborg,SE;;;;;;;;;;-30.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;Västtrafik AB,Goteborg,SE;;;;;;;;;;-30.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;Västtrafik AB,Goteborg,SE;;;;;;;;;;-30.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;Västtrafik AB,Goteborg,SE;;;;;;;;;;-6.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;Västtrafik AB,Goteborg,SE;;;;;;;;;;-30.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;HARVEST BY MANNERSTROM,GOTEBORG,SE;;;;;;;;;;-55.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;CIRCLE K GOTEBORG MARK,GOTEBORG,SE;;;;;;;;;;-191.65
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;Västtrafik AB,Goteborg,SE;;;;;;;;;;-30.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;NRG PIZZA 225,JONKOPING,SE;;;;;;;;;;-165.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;ST1 VETLANDA,EKENÄSSJÖN,SE;;;;;;;;;;-366.78
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;SHELL BOTTNARYD,BOTTNARYD,SE;;;;;;;;;;-69.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MCD 97 - BORAS,BORAS,SE;;;;;;;;;;-139.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MCDONALDS HULTA,BORAS,SE;;;;;;;;;;-17.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;Västtrafik AB,Goteborg,SE;;;;;;;;;;-30.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;CIRCLE K GOTEBORG MARK,GOTEBORG,SE;;;;;;;;;;-20.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;CIRCLE K GOTEBORG MARK,GOTEBORG,SE;;;;;;;;;;-1648.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;Västtrafik AB,Goteborg,SE;;;;;;;;;;-6.0
Utgifter;empty;Lönekonto;Rörligt;Sjukvård;empty;empty;empty;CIRCLE K NESSJO,NESSJO,SE;;;;;;;;;;-70.0
Inkomster;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Fredrik Moberg;;;;;;;;;;1600.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;Västtrafik AB,Goteborg,SE;;;;;;;;;;-30.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;Västtrafik AB,Goteborg,SE;;;;;;;;;;-30.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;K*Coop.se;;;;;;;;;;-1038.25
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;Västtrafik AB,Goteborg,SE;;;;;;;;;;-6.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MR GATSBY PIZZERIA,Askim,SE;;;;;;;;;;-177.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;Västtrafik AB,Goteborg,SE;;;;;;;;;;-30.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;Västtrafik AB,Goteborg,SE;;;;;;;;;;-30.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;Västtrafik AB,Goteborg,SE;;;;;;;;;;-30.0
Inkomster;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;TAPETKLISTTER;;;;;;;;;;300.0
Inkomster;empty;Lönekonto;Rörligt;Mobil;empty;empty;empty;BARN MOBIL;;;;;;;;;;400.0
Inkomster;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MAT;;;;;;;;;;1500.0
Utgifter;empty;Lönekonto;Rörligt;Mobil;empty;empty;empty;HALLON.SE,Stockholm,SE;;;;;;;;;;-298.0
Utgifter;empty;Lönekonto;Rörligt;Mobil;empty;empty;empty;HALLON.SE,Stockholm,SE;;;;;;;;;;-99.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MCDONALDS MOLND,MOLNDAL,SE;;;;;;;;;;-139.0
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;IKEA-KALLERED,KALLERED,SE;;;;;;;;;;-1730.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;NETFLIX.COM,Amsterdam,NL;;;;;;;;;;-89.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;STORA COOP SISJÖN,ASKIM,SE;;;;;;;;;;-33.0
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;BAUHAUS SISJON,VESTRA FROLUN,SE;;;;;;;;;;-290.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;O LEARYS GOTEBO,GOTEBORG,SE;;;;;;;;;;-75.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;O LEARYS GOTEBO,GOTEBORG,SE;;;;;;;;;;-39.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;O LEARYS GOTEBO,GOTEBORG,SE;;;;;;;;;;-40.0
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;CIRCLE K ASKIM,ASKIM,SE;;;;;;;;;;-19.9
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;STORA COOP SISJÖN,ASKIM,SE;;;;;;;;;;-9.95
Inkomster;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Fredrik Moberg;;;;;;;;;;150.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;Västtrafik AB,Goteborg,SE;;;;;;;;;;-6.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;Västtrafik AB,Goteborg,SE;;;;;;;;;;-30.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;Västtrafik AB,Goteborg,SE;;;;;;;;;;-30.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;Västtrafik AB,Goteborg,SE;;;;;;;;;;-30.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;Beställning The Hive;;;;;;;;;;-95.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Fam moberg;;;;;;;;;;-150.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;Nota Harvest by Mannerström;;;;;;;;;;-105.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;Västtrafik AB,Goteborg,SE;;;;;;;;;-30.0
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;JULA AB,ASKIM,SE;;;;;;;;;-2.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;XXL SPORT &VILD,ASKIM,SE;;;;;;;;;-449.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;Nota Harvest by Mannerström;;;;;;;;;-105.0
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;CIRCLE K ASKIM,ASKIM,SE;;;;;;;;;-16.64
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;GRENNAS BISTRO AB,GRENNA,SE;;;;;;;;;-275.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;GRENNA KONFEKTYR,GRANNA,SE;;;;;;;;;-120.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;ICA NARA KRYSSET  VIRS,VIRSERUM,SE;;;;;;;;;-317.75
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;CIRCLE K BOLLEBYGD,BOLLEBYGD,SE;;;;;;;;;-559.83
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;CIRCLE K BOLLEBYGD,BOLLEBYGD,SE;;;;;;;;;-47.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;K*Smartphoto;;;;;;;;;-367.4
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;BURGER KING VIA,BORAS,SE;;;;;;;;;-90.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;STORA COOP SISJÖN,ASKIM,SE;;;;;;;;;-24.95
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;ICA NARA KRYSSET  VIRS,VIRSERUM,SE;;;;;;;;;-55.8
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;ICA NARA KRYSSET  VIRS,VIRSERUM,SE;;;;;;;;;-289.55
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;COOP KONSUM VIRSERUM,VIRSERUM,SE;;;;;;;;;-122.75
Utgifter;empty;Lönekonto;Fasta;Spara;empty;empty;empty;Överf ISK;;;;;;;;;-500.0
Utgifter;empty;Lönekonto;Fasta;Spara;empty;empty;empty;Överf ISK;;;;;;;;;-500.0
Inkomster;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;Mat Virserum;;;;;;;;;785.0
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;CIRCLE K ASKIM,ASKIM,SE;;;;;;;;;-1448.0
Utgifter;empty;Lönekonto;Rörligt;Sjukvård;empty;empty;empty;CIRCLE K NESSJO,NESSJO,SE;;;;;;;;;-34.0
Inkomster;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;FREDRIK MOBERG;;;;;;;;;1015.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;K*Coop.se;;;;;;;;;-1015.88
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;9025.19.457.76;;;;;;;;;-9000.0
Utgifter;empty;Lönekonto;Rörligt;Spara;empty;empty;empty;Avbetalning bil Fredrik;;;;;;;;;-1000.0
Utgifter;empty;Lönekonto;Rörligt;Räkningar;empty;empty;empty;9023.78.887.28;;;;;;;;;-15000.0
Inkomster;empty;Lönekonto;Fasta;Lön;empty;empty;empty;Löneinsättning;;;;;;;;;35259.0
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;FLUGGER AB S027,Askim,SE;;;;;;;;;-2251.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;iZ *Svanstrom  Lin,Styrso,SE;;;;;;;;;-28.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;iZ *Svanstrom  Lin,Styrso,SE;;;;;;;;;-40.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;Swish till VÄSTTRAFIK AB;;;;;;;;;-30.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;Swish till VÄSTTRAFIK AB;;;;;;;;;-30.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Spotify P1163C1786,Stockholm,SE;;;;;;;;;-99.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;LIDL 274/GBG FROLUNDA,GOTEBORG,SE;;;;;;;;;-113.13
Inkomster;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Fredrik Moberg;;;;;;;;;300.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;GOOGLE *Google Play Ap,g.co/HelpPay#,IE;;;;;;;;;-10.0
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;BILTEMA SWEDEN SISJON,VESTRA FROLUN,SE;;;;;;;;;-428.9
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;PREEM,ASKIM,SE;;;;;;;;;-512.4
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;PREEM,ASKIM,SE;;;;;;;;;-81.05
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;BAUHAUS SISJON,VESTRA FROLUN,SE;;;;;;;;;-99.9
Inkomster;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;Mat;;;;;;;;;200.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;HERTZ SWEDEN FRANCHISE,DUBLIN,IE;;;;;;;;;-1044.04
Utgifter;empty;Lönekonto;Rörligt;Sjukvård;empty;empty;empty;CIRCLE K NESSJO,NESSJO,SE;;;;;;;;;-20.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;EKHAGENS PIZZERIA,JÖNKÖPING,SE;;;;;;;;;-207.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;COOP KONSUM VIRSERUM,VIRSERUM,SE;;;;;;;;;-649.89
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;ICA NARA KRYSSET  VIRS,VIRSERUM,SE;;;;;;;;;-142.3
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MCD 066 - A6 MC,JONKOPING,SE;;;;;;;;;-146.0
Utgifter;empty;Lönekonto;Rörligt;Kläder;empty;empty;empty;LINDEX/39,OSKARSHAMN,SE;;;;;;;;;-50.0
Inkomster;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;Bensib;;;;;;;;;900.0
Inkomster;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;Mat;;;;;;;;;1100.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;MICROSOFT*MICROSOFT 36,MSBILL.INFO,IE;;;;;;;;;-64.99
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;BAUHAUS SISJON,VESTRA FROLUN,SE;;;;;;;;;-2048.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;WILLYS SISJÖN,ASKIM,SE;;;;;;;;;-52.5
Inkomster;empty;Lönekonto;Rörligt;Skatt;empty;empty;empty;ÅTERBETALNIN;;;;;;;;;233.13
Inkomster;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;COLORAMA ASKIM,ASKIM,SE;;;;;;;;;1319.0
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;COLORAMA ASKIM,ASKIM,SE;;;;;;;;;-1319.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;MAXI ICA STORMARKNAD H,VASTRA FROLUN,SE;;;;;;;;;-840.15
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;WILLYS SISJÖN,ASKIM,SE;;;;;;;;;-207.6
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;PARKERINGSBOLAGET,GOTEBORG,SE;;;;;;;;;-8.0
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;CIRCLE K ASKIM,ASKIM,SE;;;;;;;;;-42.0
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;JULA AB,ASKIM,SE;;;;;;;;;-99.8
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;BAUHAUS SISJON,VESTRA FROLUN,SE;;;;;;;;;-109.0
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;RUSTA SISJON 46,ASKIM,SE;;;;;;;;;-228.8
Inkomster;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;Flyttsaker;;;;;;;;;400.0
Inkomster;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;biltema lampa;;;;;;;;;449.0
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;CLAS OHLSON,ASKIM,SE;;;;;;;;;-159.7
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;CIRCLE K ASKIM,ASKIM,SE;;;;;;;;;-54.0
Utgifter;empty;Lönekonto;Rörligt;Kläder;empty;empty;empty;SPORTSHOPEN SIS,ASKIM,SE;;;;;;;;;-149.0
Utgifter;empty;Lönekonto;Rörligt;Mobil;empty;empty;empty;HALLON.SE,Stockholm,SE;;;;;;;;;-99.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;NETFLIX.COM,020790637,NL;;;;;;;;;-89.0
Utgifter;empty;Lönekonto;Rörligt;Mobil;empty;empty;empty;HALLON.SE,Stockholm,SE;;;;;;;;;-99.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;GOOGLE  Google Play Ap,London,GB;;;;;;;;;-59.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;SMSPARK.SE,MOLNDAL,SE;;;;;;;;;-25.0
Inkomster;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Swish återbet från SF Anytime AB;;;;;;;;;39.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;K*Coop.se;;;;;;;;;-862.99
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;Jysk Vastra Frolunda,Vastra Frolun,SE;;;;;;;;-100.0
Utgifter;empty;Lönekonto;Rörligt;Kläder;empty;empty;empty;INTERSPORT GOTE,VASTRA FROLUN,SE;;;;;;;;-59.0
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;CIRCLE K ASKIM,ASKIM,SE;;;;;;;;-11.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;REPAIRHOUSE AB,Vastra Frolun,SE;;;;;;;;-1195.0
Utgifter;empty;Lönekonto;Rörligt;Kläder;empty;empty;empty;SPORTSHOPEN SIS,ASKIM,SE;;;;;;;;-238.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;XXL SPORT &VILD,ASKIM,SE;;;;;;;;-499.0
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;BILTEMA SWEDEN SISJON,VESTRA FROLUN,SE;;;;;;;;-449.0
Inkomster;empty;Lönekonto;Rörligt;Mobil;empty;empty;empty;KLÄDER BARNEN;;;;;;;;846.0
Inkomster;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MAT;;;;;;;;935.0
Inkomster;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;WILLYS;;;;;;;;250.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Swish till SF Anytime AB;;;;;;;;-39.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Swish till SF Anytime AB;;;;;;;;-39.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;WILLYS SISJÖN,ASKIM,SE;;;;;;;;-250.81
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;GYLLENE KORVEN,Askim,SE;;;;;;;;-198.0
Inkomster;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Swish från AXEL BJÖRKLUND;;;;;;;;300.0
Utgifter;empty;Lönekonto;Fasta;Spara;empty;empty;empty;Överf ISK;;;;;;;;-500.0
Utgifter;empty;Lönekonto;Fasta;Spara;empty;empty;empty;Överf ISK;;;;;;;;-500.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;ASKIMS CAMPING,ASKIM,SE;;;;;;;;-80.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;ASKIMS CAMPING,ASKIM,SE;;;;;;;;-54.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;GOOGLE  Google Play Ap,London,GB;;;;;;;;-119.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;K*Coop.se;;;;;;;;-1078.44
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;XXL SPORT &VILD,ASKIM,SE;;;;;;;;-2799.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;IKANO BANK AB - PREEM;;;;;;;;-1500.0
Inkomster;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MAT;;;;;;;;1078.0
Inkomster;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;BILTEMA SWEDEN SISJON,VESTRA FROLUN,SE;;;;;;;;1899.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;9025.19.457.76;;;;;;;;-9000.0
Utgifter;empty;Lönekonto;Rörligt;Spara;empty;empty;empty;Avbetalning bil Fredrik;;;;;;;;-1000.0
Utgifter;empty;Lönekonto;Rörligt;Räkningar;empty;empty;empty;9023.78.887.28;;;;;;;;-15000.0
Inkomster;empty;Lönekonto;Fasta;Lön;empty;empty;empty;Löneinsättning;;;;;;;;37285.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Spotify P1102EA02C,Stockholm,SE;;;;;;;;-99.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;ICA KVANTUM FROLUNDA,VASTRA FROLUN,SE;;;;;;;;-297.2
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Swish till SF Anytime AB;;;;;;;;-39.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Blocketannons 20 kr;;;;;;;;-20.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Blocketannons 30 kr;;;;;;;;-30.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Swish till BSGA GÖTEBORG AB;;;;;;;;-249.0
Inkomster;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;Mat;;;;;;;;500.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Blocketannons 50 kr;;;;;;;;-50.0
Inkomster;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Fredrik Moberg;;;;;;;;300.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;GOTEBORGS GODISAFFAR,ASKIM,SE;;;;;;;;-81.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;STORA COOP SISJÖN,ASKIM,SE;;;;;;;;-348.39
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;BILTEMA SWEDEN SISJON,VESTRA FROLUN,SE;;;;;;;;-2148.0
Inkomster;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;Mat;;;;;;;;300.0
Inkomster;empty;Lönekonto;Rörligt;Fritid;empty;empty;empty;Cykel g;;;;;;;;2000.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;ASKIMS CAMPING,ASKIM,SE;;;;;;;;-51.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Microsoft*Microsoft 36,msbill.info,IE;;;;;;;;-64.99
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;BILTEMA SWEDEN SISJON,VESTRA FROLUN,SE;;;;;;;;-19.9
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;ICA KVANTUM FROLUNDA,VASTRA FROLUN,SE;;;;;;;;-163.24
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;PREEM,ASKIM,SE;;;;;;;;-824.38
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;STORA COOP SISJÖN,ASKIM,SE;;;;;;;;-29.9
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;BAUHAUS SISJON,VESTRA FROLUN,SE;;;;;;;;-49.95
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;BILTEMA SWEDEN SISJON,VESTRA FROLUN,SE;;;;;;;;-79.7
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;WILLYS SISJÖN,ASKIM,SE;;;;;;;;-168.4
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;WILLYS SISJÖN,ASKIM,SE;;;;;;;;-31.4
Inkomster;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Fredrik Moberg;;;;;;;;500.0
Inkomster;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Fredrik Moberg;;;;;;;;200.0
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;CIRCLE K ASKIM,ASKIM,SE;;;;;;;;-118.0
Inkomster;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;Mat;;;;;;;;200.0
Inkomster;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Swish från Bodil Karlsson;;;;;;;;700.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;ICA KVANTUM FROLUNDA,VASTRA FROLUN,SE;;;;;;;;-282.75
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;CLAS OHLSON,ASKIM,SE;;;;;;;;-319.7
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;RUSTA SISJON 46,ASKIM,SE;;;;;;;;-169.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;TRIUMF GLASS OCH GODIS,VESTRA FROLUN,SE;;;;;;;;-85.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;OKQ8,VÄSTRA FRÖLUN,SE;;;;;;;;-5685.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;ICA KVANTUM FROLUNDA,VASTRA FROLUN,SE;;;;;;;;-226.6
Inkomster;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Fredrik Moberg;;;;;;;;5300.0
Inkomster;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;Mat;;;;;;;;600.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;MEKONOMENTORPAV,GÖTEBORG,SE;;;;;;;;-799.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;CIRCLE K GOTEBORG MUNK,GOTEBORG,SE;;;;;;;;-28.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;ICA KVANTUM FROLUNDA,VASTRA FROLUN,SE;;;;;;;;-164.03
Utgifter;empty;Lönekonto;Rörligt;Sjukvård;empty;empty;empty;KD APOTEK,ASKIM,SE;;;;;;;;-119.9
