In/ut;Betalsätt;Konto;Typ;Huvudkategori;Kategori 2;Kategori 3;Kategori 4;Vad;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;TANKA SISJON,GOTEBORG,SE;;;;;;;;;;;;-105.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;QSTAR VETLANDA,VETLANDA,SE;;;;;;;;;;;;-385.96
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;HERTZ SWEDEN FRANCHISE,DUBLIN,IE;;;;;;;;;;;;-1263.86
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;BILTEMA SWEDEN VETLAND,VETLANDA,SE;;;;;;;;;;;;-99.7
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MAXI ICA STORMARKNAD V,VETLANDA,SE;;;;;;;;;;;;-508.5
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;GULF VIRSERUM,VIRSERUM,SE;;;;;;;;;;;;-15.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MCDONALD´S LAND,LANDVETTER,SE;;;;;;;;;;;;-86.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MAXI ICA STORMARKNAD O,OSKARSHAMN,SE;;;;;;;;;;;;-2638.97
Utgifter;empty;Lönekonto;Rörligt;Sjukvård;empty;empty;empty;APOTEK HJARTAT ICA MAX,OSKARSHAMN,SE;;;;;;;;;;;;-143.0
Utgifter;empty;Lönekonto;Rörligt;Sjukvård;empty;empty;empty;APOTEK HJARTAT ICA MAX,OSKARSHAMN,SE;;;;;;;;;;;;-449.8
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;ICA NARA KRYSSET  VIRS,VIRSERUM,SE;;;;;;;;;;;;-200.3
Inkomster;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;Mar Oskarshamn;;;;;;;;;;;;2700.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MCD ULRICEHAMN,ULRICEHAMN,SE;;;;;;;;;;;;-15.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MCD ULRICEHAMN,ULRICEHAMN,SE;;;;;;;;;;;;-80.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Microsoft*Microsoft 36,msbill.info,IE;;;;;;;;;;;;-64.99
Utgifter;empty;Lönekonto;Rörligt;Presenter;empty;empty;empty;K*Elgiganten;;;;;;;;;;;;-1569.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;K*Coop.se;;;;;;;;;;;;-764.72
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;KJELL & CO 51,VASTRA FROLUN,SE;;;;;;;;;;;;-599.0
Utgifter;empty;Lönekonto;Rörligt;Bidrag;empty;empty;empty;Julklappar Rolf;;;;;;;;;;;;-2000.0
Utgifter;empty;Lönekonto;Rörligt;Spara;empty;empty;empty;9023.78.898.13;;;;;;;;;;;;-16000.0
Utgifter;empty;Lönekonto;Rörligt;Presenter;empty;empty;empty;AmazonMktplc*MS9LG7FO4,www.amazon.se,LU;;;;;;;;;;;;-1455.67
Inkomster;empty;Lönekonto;Rörligt;Presenter;empty;empty;empty;GOD JUL;;;;;;;;;;;;20000.0
Inkomster;empty;Lönekonto;Rörligt;Presenter;empty;empty;empty;JULKLAPPAR AMAZON;;;;;;;;;;;;655.0
Inkomster;empty;Lönekonto;Rörligt;Mobil;empty;empty;empty;MOBL BARNEN;;;;;;;;;;;;189.0
Inkomster;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MAT;;;;;;;;;;;;150.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;WILLYS SISJÖN,ASKIM,SE;;;;;;;;;;;;-114.14
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;NETFLIX.COM,020790637,NL;;;;;;;;;;;;-89.0
Utgifter;empty;Lönekonto;Rörligt;Mobil;empty;empty;empty;HALLON.SE,Stockholm,SE;;;;;;;;;;;;-99.0
Utgifter;empty;Lönekonto;Rörligt;Mobil;empty;empty;empty;HALLON.SE,Stockholm,SE;;;;;;;;;;;;-99.0
Inkomster;empty;Lönekonto;Fasta;Skatt;empty;empty;empty;ÅterbäringLF;;;;;;;;;;;;524.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Storytel Sweden AB,Stockholm,SE;;;;;;;;;;;;-9.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;PRESSBYRÅN 4150145,GÖTEBORG,SE;;;;;;;;;;;;-26.0
Utgifter;empty;Lönekonto;Rörligt;Presenter;empty;empty;empty;ELGIGANTEN AB,GÖTEBORG,SE;;;;;;;;;;;;-1989.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;STORA COOP SISJÖN,ASKIM,SE;;;;;;;;;;;;-112.85
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;STORA COOP SISJÖN,ASKIM,SE;;;;;;;;;;;;-79.0
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;BAUHAUS SISJON,VESTRA FROLUN,SE;;;;;;;;;;;-324.3
Utgifter;empty;Lönekonto;Fasta;Spara;empty;empty;empty;Överf ISK;;;;;;;;;;;-500.0
Utgifter;empty;Lönekonto;Fasta;Spara;empty;empty;empty;Överf ISK;;;;;;;;;;;-500.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;K*Coop.se;;;;;;;;;;;-926.74
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;K*Coop.se;;;;;;;;;;;-674.27
Utgifter;empty;Lönekonto;Rörligt;Presenter;empty;empty;empty;K*Tidningsku;;;;;;;;;;;-199.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MAXI ICA STORMARKNAD U,ULRICEHAMN,SE;;;;;;;;;;;-167.0
Inkomster;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MAT;;;;;;;;;;;1600.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;9025.19.457.76;;;;;;;;;;;-9000.0
Utgifter;empty;Lönekonto;Rörligt;Spara;empty;empty;empty;Avbetalning bil Fredrik;;;;;;;;;;;-1000.0
Utgifter;empty;Lönekonto;Rörligt;Räkningar;empty;empty;empty;9023.78.887.28;;;;;;;;;;;-15000.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MCDONALD´S LAND,LANDVETTER,SE;;;;;;;;;;;-86.0
Inkomster;empty;Lönekonto;Fasta;Lön;empty;empty;empty;Löneinsättning;;;;;;;;;;;35721.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;ICA NARA KRYSSET  VIRS,VIRSERUM,SE;;;;;;;;;;;-877.44
Utgifter;empty;Lönekonto;Rörligt;Sjukvård;empty;empty;empty;CIRCLE K NESSJO,NESSJO,SE;;;;;;;;;;;-23.0
